"Subject","Subject code","Catalog Number","Long Course Title","Description","Units - Units - Units","Units - Repeat for Credit","Signature Learning","Course Attributes","Instructional Components"
"ECON - Economics","ECON","627","Energy Economics","Applies the tools of microeconomics, institutional economics, and econometrics to energy markets and policies. Focuses on empirical studies of the energy business including markets for natural gas, crude oil, gasoline, electricity and coal.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","633","Labour Economics","Emphasizes empirical implementation of theoretical models through the use of data and econometrics. Topics include labor supply theory, search theory, wage determination theories, and numerical methods for the estimation of dynamic models.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","635","Regulatory Economics","An in-depth study of regulatory economics, defined as price and entry regulation. Price and entry regulation occurs when the state restricts who can provide services and approves the terms of service. A considerable part of the course will address regulatory restructuring in network industries, with case studies on electricity reform, local telecommunications, and pipelines.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","641","Financial Economics","A review of  the main themes of financial economics and an introduction of  a number of frontier ideas that have marked the recent evolution of the discipline. The main focus is on asset pricing and the application of financial econometrics to modelling and prediction of financial data.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","649","Empirical Public Economics","Focuses on empirical research on the economics of the public sector, including material on taxation, public expenditures and social insurance. Gives a broad overview of this growing field and prepares for research in public economics.

Antirequisite(s): Credit for both Economics 649 and 611.48 will not be allowed.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","651","Redistribution & Social Insurance","A focus on the economics of public expenditure programs designed to redistribute income or to provide social insurance against risks faced by households.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","653","Public Revenue Analysis","A focus on the revenue side of public finance, primarily in the form of taxation. The equity and efficiency aspects of different taxes are considered, as is optimal tax design. Possible topics include the taxation of labour and capital, the impact taxation on savings and risk taking, and environmental and resource taxation.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","655","Cost/Benefit Analysis","Theoretical and applied aspects of the use of cost-benefit techniques and applied welfare analysis in the evaluation of investment projects and public policies.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","657","Microeconomic Theory","Introduction to advanced microeconomic theory. Topics include consumer theory, theory of the firm, general equilibrium, uncertainty, game theory, and informational economics.

Prerequisite(s): Admission to the Master of Arts Economics program.

Notes: Students in other departments can take this course with permission of the Department of Economics.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","659","Macroeconomic Theory","Introduction to the analysis of macroeconomics at an advanced level. Provides an overview of theories addressing the major questions of macroeconomic phenomena. Some coverage of applied topics, such as economic growth and government policy.

Prerequisite(s): Admission to the Master of Arts Economics program.

Notes: Students in other departments can take this course with permission of the Department of Economics.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
